fl1_real_time_s,fl1_peak_time_s,fl1_peak_time_m,fl1_peak_time_h,fl1_avg_baseline,fl1_bl_slope,fl1_pk_fwhm,fl1_transit_t,fl1_valve_state,fl1_pk_order,fl1_segment_num,fl1_pk_ht1_hz,fl1_pk_ht2_hz,fl1_pk_ht3_hz,fl1_node_dev_1,fl1_node_dev_2,fl1_node_dev_mean,fl1_avg_pk_ht_hz,fl1_mass_pg,fl1_pair_id,fl1_bl_avg_hz,fl2_real_time_s,fl2_peak_time_s,fl2_peak_time_m,fl2_peak_time_h,fl2_avg_baseline,fl2_bl_slope,fl2_pk_fwhm,fl2_transit_t,fl2_valve_state,fl2_pk_order,fl2_segment_num,fl2_pk_ht1_hz,fl2_pk_ht2_hz,fl2_pk_ht3_hz,fl2_node_dev_1,fl2_node_dev_2,fl2_node_dev_mean,fl2_avg_pk_ht_hz,fl2_mass_pg,fl2_pair_id,fl2_bl_avg_hz,fl1_bl_dens_gcm3,fl2_bl_dens_gcm3,density_gcm3,volume_fl
3785508818.13883,93.0471229553223,1.5507853825887,0.0258464230431451,-118.649960172822,-2.19452564995525e-06,181,566,11,3,0,12.5986602109495,12.2009612374577,12.3224152099917,-0.271668851771824,-0.350393265396526,-0.311031058584175,12.4605377104706,10.8326007661097,1,-118.649960172822,3785508823.4666,98.3748970031738,1.63958161671956,0.0273263602786594,-266.748382954983,1.28498687347497e-05,211,469,7,5,0,9.33666217550735,10.2420063556707,9.14126376112133,0.154632690030772,0.204284684716497,0.179458687373635,9.23896296831434,8.03191641116113,1,-266.748382954983,1.0073624153552,1.09753325108838,1.35612883828969,27.5810652853824
3785508833.84182,108.750113248825,1.81250188748042,0.0302083647913403,-101.806923450011,3.51800400363387e-06,184,592,11,7,0,12.071467982413,12.3411706994875,12.296512587296,-0.127567353195464,-0.0480518388017392,-0.0878095959986017,12.1839902848545,10.5921835446219,2,-101.806923450011,3785508838.82611,113.73440861702,1.89557347695033,0.0315928912825055,-246.580865075945,1.52781879029909e-05,221,501,7,9,0,9.30582125579122,10.4111217231673,8.99899400025977,-0.44105488790321,-0.349164019521438,-0.395109453712324,9.1524076280255,7.95666930166152,2,-246.580865075945,1.00745961601212,1.09764963722578,1.36993508399341,25.9489532905705
3785508849.32838,124.236675262451,2.07061125437419,0.0345101875729031,-102.49937766323,4.38201899980014e-06,200,631,11,11,0,12.9467303569066,12.1933976313332,13.0106087524123,0.1260665347687,0.110259861784515,0.118163198276608,12.9786695546595,11.2830400282605,3,-102.49937766323,3785508859.30928,134.217574834824,2.23695958058039,0.0372826596763399,-544.49784790672,1.73432661962039e-05,194,622,7,13,0,10.2049521887184,11.7551888934127,10.2235725947615,-0.345572087914035,-0.426382211513907,-0.385977149713971,10.21426239174,8.87979549365923,3,-544.49784790672,1.00745561987974,1.09593036730346,1.42283745152414,24.1207938860279
3785508863.87422,138.782512664795,2.31304187774658,0.038550697962443,-129.079257563755,-3.05786131052799e-06,193,628,11,16,0,12.4708167518888,14.2509756226747,12.5688140034613,-0.584541259023807,-0.590964735995518,-0.587752997509663,12.519815377675,10.8841339597882,4,-129.079257563755,3785508868.94118,143.849479675293,2.39749132792155,0.0399581887986925,-207.43423160033,1.41046044582915e-05,215,461,7,18,0,9.42797981133527,10.3177981176007,9.06409008201893,-0.518112211498241,-0.444343806777579,-0.48122800913791,9.2460349466771,8.03806445388692,4,-207.43423160033,1.00730222819452,1.09787555126685,1.35367893454634,27.9034668875074
3785508878.39943,153.307730674744,2.55512884457906,0.0425854807429843,-129.878270577607,3.40100286529411e-06,167,531,11,20,0,12.5627689534794,13.4154477080476,12.7694983663536,-0.170236634688357,0.117296418134863,-0.026470108276747,12.6661336599165,11.0113361378268,5,-129.878270577607,3785508883.38172,158.290020942688,2.63816701571147,0.0439694502618578,-206.654221658014,6.76776459310845e-06,202,459,7,22,0,9.83753307379218,10.7246244222891,9.45081863935192,-0.348227064601843,0.131248828199466,-0.108489118201189,9.64417585657205,8.38418928619841,5,-206.654221658014,1.00729761711452,1.0978800526807,1.38696183176778,25.7545117843679
3785508893.6427,168.551000118256,2.80918333530426,0.046819722255071,-104.16275258102,2.1566546052612e-06,232,718,11,24,0,12.2421365500261,11.2458084326906,12.1256631857218,-0.0166147085049997,0.0173611948411949,0.000373243168097592,12.1838998678739,10.5921049403855,6,-104.16275258102,3785508898.19625,173.104546070099,2.88507576783498,0.048084596130583,-178.005964185503,1.99337243154642e-05,213,475,7,26,0,9.4553575632468,10.5559539646634,9.30073767402027,0.126256493642622,0.0941441144013517,0.110200304021987,9.37804761863353,8.1528300125329,6,-178.005964185503,1.00744602059326,1.0980453809105,1.40085716136077,23.908293925567
3785508943.43581,218.344109773636,3.63906849622726,0.0606511416037877,-91.3722749152986,9.1930626304229e-08,178,577,11,36,0,7.66424156551481,8.64751608584389,7.56852156174014,0.301664144351012,0.227431166478248,0.26454765541463,7.61638156362747,6.62132105998969,7,-91.3722749152986,3785508948.41437,223.322663784027,3.72204439640045,0.0620340732733409,-171.694253203319,2.00090907516514e-05,191,404,7,38,0,5.8434618944919,6.68515046174307,6.01668367125104,-0.244327225659117,-0.389767821847113,-0.317047523753115,5.93007278287147,5.15532414920107,7,-171.694253203319,1.00751983405409,1.09808180560421,1.41655199847826,14.3747450999317
3785509002.2382,277.146501541138,4.61910835901896,0.0769851393169827,-108.061976538846,-3.10795287130191e-06,198,638,11,51,0,13.7292040727053,13.3417932716006,13.9654045695156,-0.446367084443944,-0.339165285422428,-0.392766184933186,13.8473043211105,12.038189914659,8,-108.061976538846,3785509006.7166,281.624899864197,4.69374833106995,0.0782291388511658,-186.031687547098,8.42949450422276e-06,213,471,7,53,0,10.5888077051481,12.1694522378108,10.3316595160065,-0.262667885684464,-0.202278955235534,-0.232473420459999,10.4602336105773,9.09363121050627,8,-186.031687547098,1.00742351828941,1.09799906470305,1.37772200404,28.8683671566972
3785509047.59393,322.502227306366,5.37503712177277,0.0895839520295461,-93.251247335058,3.78220769792074e-06,184,606,11,63,0,11.3127490946456,12.8704313931888,11.4251798074819,0.593615806377789,0.473585359190756,0.533600582784272,11.3689644510637,9.88363872282808,9,-93.251247335058,3785509053.99904,328.907337903976,5.48178896506627,0.0913631494177712,-354.468747266297,2.19067727969284e-05,197,459,7,65,0,8.68135924210713,9.71269125547035,8.44753224209293,-0.32958556520929,-0.257847147959442,-0.293716356584366,8.56444574210003,7.44552311167266,9,-354.468747266297,1.00750899056093,1.09702701951171,1.37039738407313,24.1855935400046
3785509062.35354,337.261838436127,5.62103064060211,0.0936838440100352,-117.69866723909,-5.22914815159861e-06,146,485,11,67,0,13.8651440037345,13.9890460378861,13.9261788157116,-0.128071951472625,0.0105159755464587,-0.0587779879630832,13.8956614097231,12.080229275024,10,-117.69866723909,3785509072.12804,347.036334514618,5.78393890857697,0.0963989818096161,-605.594786365882,9.80816489664063e-06,178,573,7,69,0,10.2151754525501,11.9162185503903,10.7203914919205,-0.596851241998497,-0.429995591215702,-0.513423416607099,10.4677834722353,9.10019470231386,10,-605.594786365882,1.00736790523803,1.09557777871438,1.36494613794493,29.9997108744985
3785509091.88599,366.794286251068,6.11323810418447,0.101887301736408,-110.45026336777,1.66530456158055e-06,152,492,11,75,0,11.8397873675292,12.8461913379694,11.6666538148388,0.00903320570613502,-0.130729523905615,-0.0608481590997401,11.753220591184,10.2176927945357,11,-110.45026336777,3785509096.52611,371.434410572052,6.1905735095342,0.103176225158903,-260.856125459487,3.14593095880956e-05,217,475,7,77,0,9.37708900403843,10.6422873767288,9.29618355021322,-0.509996258784892,-0.0757858508884264,-0.292891054836659,9.33663627712583,8.11682895542241,11,-260.856125459487,1.00740973555815,1.09756725512867,1.44589690494925,20.6923071754806
