real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num,total_volume_au,total_volume_fl,total_density_gcm3,snacs
3822227130.50188,70.0131843090057,1.1668864051501,0.0194481067525016,-0.00135444818946596,-541.047473308799,246.808365305806,265.978070535207,246.362018208011,-0.0685543187740048,0.170064427136157,0.0507550541810762,246.585191756908,189.682199415651,190,315,0,11,0,335.851883514614,3255.51738245853,1.06755627180401,-0.000121841419879425
3822227131.1916,70.7029004096985,1.17838167349497,0.0196396945582496,-0.00156864253158955,-540.466902709456,134.495700095922,145.627594566499,134.266261020271,-0.059692706953799,0.19853023537134,0.0694187642087702,134.380980558097,103.370684063706,172,290,0,16,0,192.720515292668,1868.10024980654,1.06462608746233,0.000293373196586121
3822227131.30619,70.8174905776978,1.1802915096283,0.0196715251604716,-0.00102176075924221,-541.273415147208,196.103292685249,210.676328481428,195.475410482115,-0.363602794138201,0.0898376438050274,-0.136882575166587,195.789351583682,150.608211977176,195,321,0,17,0,330.308744585324,3201.78600257511,1.05633024446879,-0.000164938897367661
3822227132.7771,72.2883982658386,1.20480663776398,0.0200801106293996,-0.00774365456788987,-536.101620759871,205.322245418711,220.548555680134,203.649129560978,-1.06985226485673,-0.524859560086758,-0.797355912471745,204.485687489845,157.297746372106,183,315,0,28,0,296.937878428069,2878.31175641113,1.06394074003595,-0.000307431285912564
3822227132.9077,72.4190015792847,1.20698335965474,0.0201163893275791,-0.00202788867898487,-539.755695013805,241.309605799418,257.97764089708,240.48268082856,1.0181361897072,0.901839893903976,0.959988041805587,240.896143313989,185.305978712589,189,315,0,31,0,350.768369339329,3400.1075463706,1.06379146633982,0.00010388474852554
3822227133.13894,72.6502459049225,1.21083743174871,0.0201806238624785,0.000352923617846448,-540.522862710272,207.968008724991,223.435621937843,207.739432898242,0.659554938316879,0.521409483818213,0.590482211067546,207.853720811617,159.888558754744,186,310,0,32,0,298.589521536846,2894.32164980215,1.06453358457485,0.000169062412735457
3822227133.4445,72.9558026790619,1.21593004465103,0.0202655007441839,1.87949162332765e-06,-539.380064692274,371.382288155434,390.046407014676,370.893773613419,-2.35924340442342,-2.862794993713,-2.61101919906821,371.138030884427,285.492723562868,193,325,0,36,0,480.627069707936,4658.86855699652,1.07057084332992,-0.00109603840671243
3822227133.87354,73.3848385810852,1.22308064301809,0.0203846773836348,-0.000284933941613952,-541.203933205973,122.41630996588,131.888645065799,122.167375207718,-0.21769187644512,-0.0514080372788914,-0.134549956862006,122.291842586799,94.0712842777866,178,298,0,42,0,255.56519250258,2477.27336776215,1.04726515141637,2.9061704397824e-05
3822227134.04376,73.5550630092621,1.22591771682103,0.0204319619470172,0.000104023041262256,-541.297950718908,126.182526023793,135.447827074177,126.005835882368,1.24163579366963,1.34919981569161,1.29541780468062,126.09418095308,96.9961797230482,165,280,0,43,0,181.071398380499,1755.18171500187,1.06455418829748,0.00102630431336286
3822227134.38993,73.9012274742126,1.23168712457021,0.0205281187428368,-0.000834414661747293,-541.476170580003,238.215759223651,256.072846921243,238.175176213687,-0.013039656547577,0.083890209082394,0.0354252762674085,238.195467718669,183.228521898664,195,321,0,48,0,356.355325661241,3454.26366194954,1.0623355939816,-0.000183565669882192
3822227134.53277,74.0440754890442,1.2340679248174,0.0205677987469567,-2.74362615149854e-05,-541.658676334126,101.797809296051,109.716040830967,101.746435427527,0.124763437412999,0.300017971106067,0.212390704259533,101.772122361789,78.286777365827,183,303,0,49,0,173.634408372863,1683.09264410054,1.05580507894954,0.000434895143650257
3822227134.67882,74.1901187896729,1.23650197982788,0.0206083663304647,0.00402457842239586,-540.717210783359,126.379488732877,133.424069729989,125.026995050511,-0.193440963029298,-0.246373337355406,-0.219907150192352,125.703241891694,96.6954553345606,185,307,0,51,0,272.849728270119,2644.81778064469,1.04585177862052,-4.73075411745287e-05
